,LocalTime,Hum,WindSpeed,WindDir,Temp
0,2016-12-06 21:30:00,76.0,2.56,118.800003,19.49
1,2016-12-06 21:40:00,76.0,2.12,89.900002,19.43
2,2016-12-06 21:50:00,76.0,2.4,72.300003,19.440001
3,2016-12-06 22:00:00,76.0,1.54,78.599998,19.459999
4,2016-12-06 22:10:00,76.0,1.27,83.800003,19.540001
5,2016-12-06 22:20:00,76.0,1.49,129.5,19.49
6,2016-12-06 22:30:00,76.0,0.84,108.199997,19.65
7,2016-12-06 22:40:00,76.0,1.39,73.199997,19.4
8,2016-12-06 22:50:00,77.0,1.56,85.599998,19.610001
9,2016-12-06 23:00:00,76.0,0.99,101.0,19.299999
10,2016-12-06 23:10:00,77.0,0.83,101.400002,19.43
11,2016-12-06 23:20:00,77.0,1.03,92.599998,19.440001
12,2016-12-06 23:30:00,77.0,1.29,66.0,19.58
13,2016-12-06 23:40:00,77.0,1.3,58.5,19.889999
14,2016-12-06 23:50:00,77.0,2.17,103.300003,19.43
15,2016-12-07 00:00:00,78.0,0.79,118.900002,19.309999
16,2016-12-07 00:10:00,78.0,1.26,138.5,19.43
17,2016-12-07 00:20:00,78.0,1.93,25.5,19.48
18,2016-12-07 00:30:00,78.0,1.84,91.5,19.43
19,2016-12-07 00:40:00,78.0,1.55,99.699997,19.440001
20,2016-12-07 00:50:00,78.0,2.33,75.0,19.41
21,2016-12-07 01:00:00,78.01,1.54,87.0,19.43
22,2016-12-07 01:10:00,78.02,2.33,86.699997,19.34
23,2016-12-07 01:20:00,78.03,1.41,120.199997,19.360001
24,2016-12-07 01:30:00,78.04,2.0,114.199997,19.41
25,2016-12-07 01:40:00,78.04,1.21,105.900002,19.360001
26,2016-12-07 01:50:00,78.03,1.87,85.0,19.34
27,2016-12-07 02:00:00,82.84,1.28,91.699997,19.27
28,2016-12-07 02:10:00,82.83,1.48,99.699997,19.27
29,2016-12-07 02:20:00,82.85,0.49,105.099998,19.360001
30,2016-12-07 02:30:00,82.84,1.57,87.900002,19.219999
31,2016-12-07 02:40:00,82.85,1.88,95.199997,19.139999
