,LocalTime,Hum,WindSpeed,WindDir,Temp
0,2020-01-01 00:00:00,Nan,,,
1,2020-01-01 00:10:00,Nan,,,
2,2020-01-01 00:20:00,Nan,,,
3,2020-01-01 00:30:00,Nan,,,
4,2020-01-01 00:40:00,Nan,,,
5,2020-01-01 00:50:00,Nan,,,
6,2020-01-01 01:00:00,Nan,,,
7,2020-01-01 01:10:00,Nan,,,
8,2020-01-01 01:20:00,Nan,,,
9,2020-01-01 01:30:00,Nan,,,
10,2020-01-01 01:40:00,Nan,,,
11,2020-01-01 01:50:00,Nan,,,
12,2020-01-01 02:00:00,Nan,,,
13,2020-01-01 02:10:00,Nan,,,
14,2020-01-01 02:20:00,Nan,,,
15,2020-01-01 02:30:00,Nan,,,
16,2020-01-01 02:40:00,Nan,,,
17,2020-01-01 02:50:00,Nan,,,
18,2020-01-01 03:00:00,Nan,,,
19,2020-01-01 03:10:00,Nan,,,
20,2020-01-01 03:20:00,Nan,,,
21,2020-01-01 03:30:00,Nan,,,
22,2020-01-01 03:40:00,Nan,,,
23,2020-01-01 03:50:00,Nan,,,
24,2020-01-01 04:00:00,Nan,,,
25,2020-01-01 04:10:00,Nan,,,
26,2020-01-01 04:20:00,Nan,,,
27,2020-01-01 04:30:00,Nan,,,
28,2020-01-01 04:40:00,Nan,,,
29,2020-01-01 04:50:00,Nan,,,
30,2020-01-01 05:00:00,Nan,,,
31,2020-01-01 05:10:00,Nan,,,
32,2020-01-01 05:20:00,Nan,,,
33,2020-01-01 05:30:00,Nan,,,
34,2020-01-01 05:40:00,Nan,,,
35,2020-01-01 05:50:00,Nan,,,
36,2020-01-01 06:00:00,Nan,,,
37,2020-01-01 06:10:00,Nan,,,
38,2020-01-01 06:20:00,Nan,,,
39,2020-01-01 06:30:00,Nan,,,
40,2020-01-01 06:40:00,Nan,,,
41,2020-01-01 06:50:00,Nan,,,
42,2020-01-01 07:00:00,Nan,,,
43,2020-01-01 07:10:00,Nan,,,
44,2020-01-01 07:20:00,Nan,,,
45,2020-01-01 07:30:00,Nan,,,
46,2020-01-01 07:40:00,Nan,,,
47,2020-01-01 07:50:00,Nan,,,
48,2020-01-01 08:00:00,Nan,,,
49,2020-01-01 08:10:00,Nan,,,
50,2020-01-01 08:20:00,Nan,,,
51,2020-01-01 08:30:00,Nan,,,
52,2020-01-01 08:40:00,Nan,,,
53,2020-01-01 08:50:00,Nan,,,
54,2020-01-01 09:00:00,Nan,,,
55,2020-01-01 09:10:00,Nan,,,
56,2020-01-01 09:20:00,Nan,,,
57,2020-01-01 09:30:00,Nan,,,
58,2020-01-01 09:40:00,Nan,,,
59,2020-01-01 09:50:00,Nan,,,
60,2020-01-01 10:00:00,Nan,,,
61,2020-01-01 10:10:00,Nan,,,
62,2020-01-01 10:20:00,Nan,,,
63,2020-01-01 10:30:00,Nan,,,
64,2020-01-01 10:40:00,Nan,,,
65,2020-01-01 10:50:00,Nan,,,
66,2020-01-01 11:00:00,Nan,,,
67,2020-01-01 11:10:00,Nan,,,
68,2020-01-01 11:20:00,Nan,,,
69,2020-01-01 11:30:00,Nan,,,
70,2020-01-01 11:40:00,Nan,,,
71,2020-01-01 11:50:00,Nan,,,
72,2020-01-01 12:00:00,Nan,,,
73,2020-01-01 12:10:00,Nan,,,
74,2020-01-01 12:20:00,Nan,,,
75,2020-01-01 12:30:00,Nan,,,
76,2020-01-01 12:40:00,Nan,,,
77,2020-01-01 12:50:00,Nan,,,
78,2020-01-01 13:00:00,Nan,,,
79,2020-01-01 13:10:00,Nan,,,
80,2020-01-01 13:20:00,Nan,,,
81,2020-01-01 13:30:00,Nan,,,
82,2020-01-01 13:40:00,Nan,,,
83,2020-01-01 13:50:00,Nan,,,
84,2020-01-01 14:00:00,Nan,,,
85,2020-01-01 14:10:00,Nan,,,
86,2020-01-01 14:20:00,Nan,,,
87,2020-01-01 14:30:00,Nan,,,
88,2020-01-01 14:40:00,Nan,,,
89,2020-01-01 14:50:00,Nan,,,
90,2020-01-01 15:00:00,Nan,,,
91,2020-01-01 15:10:00,Nan,,,
92,2020-01-01 15:20:00,Nan,,,
93,2020-01-01 15:30:00,Nan,,,
94,2020-01-01 15:40:00,Nan,,,
95,2020-01-01 15:50:00,Nan,,,
96,2020-01-01 16:00:00,Nan,,,
97,2020-01-01 16:10:00,Nan,,,
98,2020-01-01 16:20:00,Nan,,,
99,2020-01-01 16:30:00,Nan,,,
100,2020-01-01 16:40:00,Nan,,,
101,2020-01-01 16:50:00,Nan,,,
102,2020-01-01 17:00:00,Nan,,,
103,2020-01-01 17:10:00,Nan,,,
104,2020-01-01 17:20:00,Nan,,,
105,2020-01-01 17:30:00,Nan,,,
106,2020-01-01 17:40:00,Nan,,,
107,2020-01-01 17:50:00,Nan,,,
108,2020-01-01 18:00:00,Nan,,,
109,2020-01-01 18:10:00,Nan,,,
110,2020-01-01 18:20:00,Nan,,,
111,2020-01-01 18:30:00,Nan,,,
112,2020-01-01 18:40:00,Nan,,,
113,2020-01-01 18:50:00,Nan,,,
114,2020-01-01 19:00:00,Nan,,,
115,2020-01-01 19:10:00,Nan,,,
116,2020-01-01 19:20:00,Nan,,,
117,2020-01-01 19:30:00,Nan,,,
118,2020-01-01 19:40:00,Nan,,,
119,2020-01-01 19:50:00,Nan,,,
120,2020-01-01 20:00:00,Nan,,,
121,2020-01-01 20:10:00,Nan,,,
122,2020-01-01 20:20:00,Nan,,,
123,2020-01-01 20:30:00,Nan,,,
124,2020-01-01 20:40:00,Nan,,,
125,2020-01-01 20:50:00,Nan,,,
126,2020-01-01 21:00:00,Nan,,,
127,2020-01-01 21:10:00,Nan,,,
128,2020-01-01 21:20:00,Nan,,,
129,2020-01-01 21:30:00,Nan,,,
130,2020-01-01 21:40:00,Nan,,,
131,2020-01-01 21:50:00,Nan,,,
132,2020-01-01 22:00:00,Nan,,,
133,2020-01-01 22:10:00,Nan,,,
134,2020-01-01 22:20:00,Nan,,,
135,2020-01-01 22:30:00,Nan,,,
136,2020-01-01 22:40:00,Nan,,,
137,2020-01-01 22:50:00,Nan,,,
138,2020-01-01 23:00:00,Nan,,,
139,2020-01-01 23:10:00,Nan,,,
140,2020-01-01 23:20:00,Nan,,,
141,2020-01-01 23:30:00,Nan,,,
142,2020-01-01 23:40:00,Nan,,,
143,2020-01-01 23:50:00,Nan,,,
144,2020-01-02 00:00:00,Nan,,,
145,2020-01-02 00:10:00,Nan,,,
146,2020-01-02 00:20:00,Nan,,,
147,2020-01-02 00:30:00,Nan,,,
148,2020-01-02 00:40:00,Nan,,,
149,2020-01-02 00:50:00,Nan,,,
150,2020-01-02 01:00:00,Nan,,,
151,2020-01-02 01:10:00,Nan,,,
152,2020-01-02 01:20:00,Nan,,,
153,2020-01-02 01:30:00,Nan,,,
154,2020-01-02 01:40:00,Nan,,,
155,2020-01-02 01:50:00,Nan,,,
156,2020-01-02 02:00:00,Nan,,,
157,2020-01-02 02:10:00,Nan,,,
158,2020-01-02 02:20:00,Nan,,,
159,2020-01-02 02:30:00,Nan,,,
160,2020-01-02 02:40:00,Nan,,,
161,2020-01-02 02:50:00,Nan,,,
162,2020-01-02 03:00:00,Nan,,,
163,2020-01-02 03:10:00,Nan,,,
164,2020-01-02 03:20:00,Nan,,,
165,2020-01-02 03:30:00,Nan,,,
166,2020-01-02 03:40:00,Nan,,,
167,2020-01-02 03:50:00,Nan,,,
168,2020-01-02 04:00:00,Nan,,,
169,2020-01-02 04:10:00,Nan,,,
170,2020-01-02 04:20:00,Nan,,,
171,2020-01-02 04:30:00,Nan,,,
172,2020-01-02 04:40:00,Nan,,,
173,2020-01-02 04:50:00,Nan,,,
174,2020-01-02 05:00:00,Nan,,,
175,2020-01-02 05:10:00,Nan,,,
